"CH","Kset","frequency","Rigol Vpp","V7 Vrms","Kmeas","deviation_percent","KU bits","type=2 contacts","raw_verdict","peer_ratio","golden_ratio"
"4","8","500","0,25","0,68475","7,747058","-3,161775","KU4","16","OK","0,993291","NOT_COMPARABLE"
"4","32","500","0,0625","0,892582","40,393651","26,230159","KU2+KU4","14,16","FAIL","0,992512","NOT_COMPARABLE"
"5","0,25","500","8","0,664794","0,23504","-5,984","none","none","OK","1,001026","NOT_COMPARABLE"
"5","0,5","500","4","0,66013","0,466783","-6,6434","KU1","17","OK","1,00361","NOT_COMPARABLE"
"5","1","2","2","0,06116","0,086493","-90,730188","KU2","18","FAIL","1","NOT_COMPARABLE"
"5","1","6","2","0,315995","0,446885","-52,105489","KU2","18","FAIL","0,992778","NOT_COMPARABLE"
"5","1","20","2","0,587575","0,830956","-10,943014","KU2","18","FAIL","1,003606","NOT_COMPARABLE"
"5","1","500","2","0,659774","0,933061","-6,6939","KU2","18","OK","1,006636","NOT_COMPARABLE"
"5","1","1800","2","0,682031","0,964538","3,37352","KU2","18","OK","1,0212","NOT_COMPARABLE"
"5","1","2000","2","0,703646","0,995106","6,649619","KU2","18","OK","1,022455","NOT_COMPARABLE"
"5","1","4000","2","0,057677","0,081567","-91,258128","KU2","18","OK","1","NOT_COMPARABLE"
"5","2","500","1","0,656346","1,856428","-7,1786","KU3","19","FAIL","1","NOT_COMPARABLE"
"5","4","500","0,5","0,662164","3,745766","-6,35585","KU1+KU3","17,19","OK","1","NOT_COMPARABLE"
"5","8","500","0,25","0,691049","7,818327","-2,270912","KU4","20","OK","1,002429","NOT_COMPARABLE"
"5","32","500","0,0625","0,899316","40,698404","27,182512","KU2+KU4","18,20","FAIL","1","NOT_COMPARABLE"
"6","0,25","500","8","0,664111","0,234799","-6,0804","none","none","OK","1","NOT_COMPARABLE"
"6","0,5","500","4","0,65915","0,46609","-6,782","KU1","21","OK","1,00212","NOT_COMPARABLE"
"6","1","2","2","0,057056","0,080689","-91,333734","KU2","22","FAIL","0,932896","NOT_COMPARABLE"
"6","1","6","2","0,314941","0,445394","-52,16321","KU2","22","FAIL","0,989465","NOT_COMPARABLE"
"6","1","20","2","0,587313","0,830586","-10,792314","KU2","22","FAIL","1,00316","NOT_COMPARABLE"
"6","1","500","2","0,658366","0,93107","-6,893","KU2","22","OK","1,004488","NOT_COMPARABLE"
"6","1","1800","2","0,656831","0,928899","-0,233173","KU2","22","OK","0,983468","NOT_COMPARABLE"
"6","1","2000","2","0,678329","0,959302","3,03221","KU2","22","OK","0,985667","NOT_COMPARABLE"
"6","1","4000","2","0,05488","0,077612","-91,664214","KU2","22","OK","0,951512","NOT_COMPARABLE"
"6","2","500","1","0,660998","1,869584","-6,5208","KU3","23","OK","1,007087","NOT_COMPARABLE"
"6","4","500","0,5","0,665353","3,763805","-5,904875","KU1+KU3","21,23","OK","1,004816","NOT_COMPARABLE"
"6","8","500","0,25","0,689375","7,799385","-2,507688","KU4","24","OK","1","NOT_COMPARABLE"
"6","32","500","0,0625","0,900023","40,730387","27,282459","KU2+KU4","22,24","FAIL","1,000786","NOT_COMPARABLE"
"7","0,25","500","8","0,658428","0,23279","-6,884","none","none","OK","0,991444","NOT_COMPARABLE"
"7","0,5","500","4","0,652842","0,461629","-7,6742","KU1","25","FAIL","0,992529","NOT_COMPARABLE"
"7","1","2","2","0,059391","0,083992","-90,852737","KU2","26","FAIL","0,971084","NOT_COMPARABLE"
"7","1","6","2","0,319989","0,452532","-50,716386","KU2","26","FAIL","1,005323","NOT_COMPARABLE"
"7","1","20","2","0,580307","0,820677","-10,623053","KU2","26","FAIL","0,991192","NOT_COMPARABLE"
"7","1","500","2","0,64928","0,91822","-8,178","KU2","26","FAIL","0,990625","NOT_COMPARABLE"
"7","1","1800","2","0,654775","0,925991","0,846311","KU2","26","OK","0,980389","NOT_COMPARABLE"
"7","1","2000","2","0,679011","0,960266","4,579077","KU2","26","OK","0,986657","NOT_COMPARABLE"
"7","1","4000","2","0,059811","0,084585","-90,788155","KU2","26","OK","1,037","NOT_COMPARABLE"
"7","2","500","1","0,655075","1,852832","-7,3584","KU3","27","FAIL","0,998063","NOT_COMPARABLE"
"7","4","500","0,5","0,660381","3,735677","-6,608075","KU1+KU3","25,27","OK","0,997307","NOT_COMPARABLE"
"7","8","500","0,25","0,681715","7,712728","-3,5909","KU4","28","OK","0,988889","NOT_COMPARABLE"
"7","32","500","0,0625","0,908973","41,135425","28,548203","KU2+KU4","26,28","FAIL","1,010738","NOT_COMPARABLE"
"8","0,25","500","8","0,66461","0,234975","-6,01","none","none","OK","1,00075","NOT_COMPARABLE"
"8","0,5","500","4","0,657757","0,465104","-6,9792","KU1","29","OK","1","NOT_COMPARABLE"
"8","1","2","2","0,057711","0,081615","-91,194938","KU2","30","FAIL","0,943602","NOT_COMPARABLE"
"8","1","6","2","0,318983","0,451109","-51,331952","KU2","30","FAIL","1,002162","NOT_COMPARABLE"
"8","1","20","2","0,584579","0,826719","-10,80914","KU2","30","FAIL","0,998489","NOT_COMPARABLE"
"8","1","500","2","0,655424","0,92691","-7,309","KU2","30","FAIL","1","NOT_COMPARABLE"
"8","1","1800","2","0,674034","0,953229","2,839434","KU2","30","OK","1,009227","NOT_COMPARABLE"
"8","1","2000","2","0,697588","0,986539","6,433095","KU2","30","OK","1,013652","NOT_COMPARABLE"
"8","1","4000","2","0,054862","0,077586","-91,629608","KU2","30","OK","0,951193","NOT_COMPARABLE"
"8","2","500","1","0,662258","1,873148","-6,3426","KU3","31","OK","1,009007","NOT_COMPARABLE"
"8","4","500","0,5","0,666067","3,767844","-5,8039","KU1+KU3","29,31","OK","1,005894","NOT_COMPARABLE"
"8","8","500","0,25","0,691779","7,826587","-2,167663","KU4","32","OK","1,003488","NOT_COMPARABLE"
"8","32","500","0,0625","0,92143","41,699183","30,309947","KU2+KU4","30,32","FAIL","1,02459","NOT_COMPARABLE"
