Информативность,Параметр,Поток,А,В,С,D,E,X,T,P,Полный адрес,Категория,Информативность_зу,Поток_зу,А_зу,В_зу,С_зу,D_зу,E_зу,X_зу,T_зу,P_зу,Полный адрес_зу
16,(мл. разр. 8 бит),П2,40,40,10,20,41,,21,1,M16П2A40B40C10D20E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,20,41,,21,1,M16П2A40B40C50D20E41T21
16,(ст. разр. 4 бита),П2,40,40,10,30,41,,21,1,M16П2A40B40C10D30E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,30,41,,21,1,M16П2A40B40C50D30E41T21
16,(мл. разр. 8 бит),П2,40,40,10,40,41,,21,1,M16П2A40B40C10D40E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,40,41,,21,1,M16П2A40B40C50D40E41T21
16,(ст. разр. 4 бита),П2,40,40,10,50,41,,21,1,M16П2A40B40C10D50E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,50,41,,21,1,M16П2A40B40C50D50E41T21
16,(мл. разр. 8 бит),П2,40,40,10,60,41,,21,1,M16П2A40B40C10D60E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,60,41,,21,1,M16П2A40B40C50D60E41T21
16,(ст. разр. 4 бита),П2,40,40,10,70,41,,21,1,M16П2A40B40C10D70E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,70,41,,21,1,M16П2A40B40C50D70E41T21
16,(мл. разр. 8 бит),П2,40,40,10,80,41,,21,1,M16П2A40B40C10D80E41T21,БСИ температурные ЯТП-1,16,П2,40,40,50,80,41,,21,1,M16П2A40B40C50D80E41T21
16,(ст. разр. 4 бита),П2,40,40,20,10,11,,21,1,M16П2A40B40C20D10E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,10,11,,21,1,M16П2A40B40C60D10E11T21
16,(мл. разр. 8 бит),П2,40,40,20,20,11,,21,1,M16П2A40B40C20D20E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,20,11,,21,1,M16П2A40B40C60D20E11T21
16,(ст. разр. 4 бита),П2,40,40,20,30,11,,21,1,M16П2A40B40C20D30E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,30,11,,21,1,M16П2A40B40C60D30E11T21
16,(мл. разр. 8 бит),П2,40,40,20,40,11,,21,1,M16П2A40B40C20D40E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,40,11,,21,1,M16П2A40B40C60D40E11T21
16,(ст. разр. 4 бита),П2,40,40,20,50,11,,21,1,M16П2A40B40C20D50E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,50,11,,21,1,M16П2A40B40C60D50E11T21
16,(мл. разр. 8 бит),П2,40,40,20,60,11,,21,1,M16П2A40B40C20D60E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,60,11,,21,1,M16П2A40B40C60D60E11T21
16,(ст. разр. 4 бита),П2,40,40,20,70,11,,21,1,M16П2A40B40C20D70E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,70,11,,21,1,M16П2A40B40C60D70E11T21
16,(мл. разр. 8 бит),П2,40,40,20,80,11,,21,1,M16П2A40B40C20D80E11T21,БСИ температурные ЯТП-1,16,П2,40,40,60,80,11,,21,1,M16П2A40B40C60D80E11T21
16,(ст. разр. 4 бита),П2,40,40,20,10,21,,21,1,M16П2A40B40C20D10E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,10,21,,21,1,M16П2A40B40C60D10E21T21
16,(мл. разр. 8 бит),П2,40,40,20,20,21,,21,1,M16П2A40B40C20D20E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,20,21,,21,1,M16П2A40B40C60D20E21T21
16,(ст. разр. 4 бита),П2,40,40,20,30,21,,21,1,M16П2A40B40C20D30E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,30,21,,21,1,M16П2A40B40C60D30E21T21
16,(мл. разр. 8 бит),П2,40,40,20,40,21,,21,1,M16П2A40B40C20D40E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,40,21,,21,1,M16П2A40B40C60D40E21T21
16,(ст. разр. 4 бита),П2,40,40,20,50,21,,21,1,M16П2A40B40C20D50E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,50,21,,21,1,M16П2A40B40C60D50E21T21
16,(мл. разр. 8 бит),П2,40,40,20,60,21,,21,1,M16П2A40B40C20D60E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,60,21,,21,1,M16П2A40B40C60D60E21T21
16,(ст. разр. 4 бита),П2,40,40,20,70,21,,21,1,M16П2A40B40C20D70E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,70,21,,21,1,M16П2A40B40C60D70E21T21
16,(мл. разр. 8 бит),П2,40,40,20,80,21,,21,1,M16П2A40B40C20D80E21T21,БСИ температурные ЯТП-1,16,П2,40,40,60,80,21,,21,1,M16П2A40B40C60D80E21T21
16,(ст. разр. 4 бита),П2,40,40,20,10,31,,21,1,M16П2A40B40C20D10E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,10,31,,21,1,M16П2A40B40C60D10E31T21
16,(мл. разр. 8 бит),П2,40,40,20,20,31,,21,1,M16П2A40B40C20D20E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,20,31,,21,1,M16П2A40B40C60D20E31T21
16,(ст. разр. 4 бита),П2,40,40,20,30,31,,21,1,M16П2A40B40C20D30E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,30,31,,21,1,M16П2A40B40C60D30E31T21
16,(мл. разр. 8 бит),П2,40,40,20,40,31,,21,1,M16П2A40B40C20D40E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,40,31,,21,1,M16П2A40B40C60D40E31T21
16,(ст. разр. 4 бита),П2,40,40,20,50,31,,21,1,M16П2A40B40C20D50E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,50,31,,21,1,M16П2A40B40C60D50E31T21
16,(мл. разр. 8 бит),П2,40,40,20,60,31,,21,1,M16П2A40B40C20D60E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,60,31,,21,1,M16П2A40B40C60D60E31T21
16,(ст. разр. 4 бита),П2,40,40,20,70,31,,21,1,M16П2A40B40C20D70E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,70,31,,21,1,M16П2A40B40C60D70E31T21
16,(мл. разр. 8 бит),П2,40,40,20,80,31,,21,1,M16П2A40B40C20D80E31T21,БСИ температурные ЯТП-1,16,П2,40,40,60,80,31,,21,1,M16П2A40B40C60D80E31T21
16,(ст. разр. 4 бита),П2,40,40,20,10,41,,21,1,M16П2A40B40C20D10E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,10,41,,21,1,M16П2A40B40C60D10E41T21
16,(мл. разр. 8 бит),П2,40,40,20,20,41,,21,1,M16П2A40B40C20D20E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,20,41,,21,1,M16П2A40B40C60D20E41T21
16,(ст. разр. 4 бита),П2,40,40,20,30,41,,21,1,M16П2A40B40C20D30E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,30,41,,21,1,M16П2A40B40C60D30E41T21
16,(мл. разр. 8 бит),П2,40,40,20,40,41,,21,1,M16П2A40B40C20D40E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,40,41,,21,1,M16П2A40B40C60D40E41T21
16,(ст. разр. 4 бита),П2,40,40,20,50,41,,21,1,M16П2A40B40C20D50E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,50,41,,21,1,M16П2A40B40C60D50E41T21
16,(мл. разр. 8 бит),П2,40,40,20,60,41,,21,1,M16П2A40B40C20D60E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,60,41,,21,1,M16П2A40B40C60D60E41T21
16,(ст. разр. 4 бита),П2,40,40,20,70,41,,21,1,M16П2A40B40C20D70E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,70,41,,21,1,M16П2A40B40C60D70E41T21
16,(мл. разр. 8 бит),П2,40,40,20,80,41,,21,1,M16П2A40B40C20D80E41T21,БСИ температурные ЯТП-1,16,П2,40,40,60,80,41,,21,1,M16П2A40B40C60D80E41T21
16,(ст. разр. 4 бита),П2,40,40,30,10,11,,21,1,M16П2A40B40C30D10E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,10,11,,21,1,M16П2A40B40C70D10E11T21
16,(мл. разр. 8 бит),П2,40,40,30,20,11,,21,1,M16П2A40B40C30D20E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,20,11,,21,1,M16П2A40B40C70D20E11T21
16,(ст. разр. 4 бита),П2,40,40,30,30,11,,21,1,M16П2A40B40C30D30E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,30,11,,21,1,M16П2A40B40C70D30E11T21
16,(мл. разр. 8 бит),П2,40,40,30,40,11,,21,1,M16П2A40B40C30D40E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,40,11,,21,1,M16П2A40B40C70D40E11T21
16,(ст. разр. 4 бита),П2,40,40,30,50,11,,21,1,M16П2A40B40C30D50E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,50,11,,21,1,M16П2A40B40C70D50E11T21
16,(мл. разр. 8 бит),П2,40,40,30,60,11,,21,1,M16П2A40B40C30D60E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,60,11,,21,1,M16П2A40B40C70D60E11T21
16,(ст. разр. 4 бита),П2,40,40,30,70,11,,21,1,M16П2A40B40C30D70E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,70,11,,21,1,M16П2A40B40C70D70E11T21
16,(мл. разр. 8 бит),П2,40,40,30,80,11,,21,1,M16П2A40B40C30D80E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,80,11,,21,1,M16П2A40B40C70D80E11T21
16,(ст. разр. 4 бита),П2,40,40,30,10,21,,21,1,M16П2A40B40C30D10E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,10,21,,21,1,M16П2A40B40C70D10E21T21
16,(мл. разр. 8 бит),П2,40,40,30,20,21,,21,1,M16П2A40B40C30D20E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,20,21,,21,1,M16П2A40B40C70D20E21T21
16,(ст. разр. 4 бита),П2,40,40,30,30,21,,21,1,M16П2A40B40C30D30E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,30,21,,21,1,M16П2A40B40C70D30E21T21
16,(мл. разр. 8 бит),П2,40,40,30,40,21,,21,1,M16П2A40B40C30D40E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,40,21,,21,1,M16П2A40B40C70D40E21T21
16,(ст. разр. 4 бита),П2,40,40,30,50,21,,21,1,M16П2A40B40C30D50E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,50,21,,21,1,M16П2A40B40C70D50E21T21
16,(мл. разр. 8 бит),П2,40,40,30,60,21,,21,1,M16П2A40B40C30D60E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,60,21,,21,1,M16П2A40B40C70D60E21T21
16,(ст. разр. 4 бита),П2,40,40,30,70,21,,21,1,M16П2A40B40C30D70E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,70,21,,21,1,M16П2A40B40C70D70E21T21
16,(мл. разр. 8 бит),П2,40,40,30,80,21,,21,1,M16П2A40B40C30D80E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,80,21,,21,1,M16П2A40B40C70D80E21T21
16,(ст. разр. 4 бита),П2,40,40,30,10,31,,21,1,M16П2A40B40C30D10E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,10,31,,21,1,M16П2A40B40C70D10E31T21
16,(мл. разр. 8 бит),П2,40,40,30,20,31,,21,1,M16П2A40B40C30D20E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,20,31,,21,1,M16П2A40B40C70D20E31T21
16,(ст. разр. 4 бита),П2,40,40,30,30,31,,21,1,M16П2A40B40C30D30E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,30,31,,21,1,M16П2A40B40C70D30E31T21
16,(мл. разр. 8 бит),П2,40,40,30,40,31,,21,1,M16П2A40B40C30D40E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,40,31,,21,1,M16П2A40B40C70D40E31T21
16,(ст. разр. 4 бита),П2,40,40,30,50,31,,21,1,M16П2A40B40C30D50E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,50,31,,21,1,M16П2A40B40C70D50E31T21
16,(мл. разр. 8 бит),П2,40,40,30,60,31,,21,1,M16П2A40B40C30D60E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,60,31,,21,1,M16П2A40B40C70D60E31T21
16,(ст. разр. 4 бита),П2,40,40,30,70,31,,21,1,M16П2A40B40C30D70E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,70,31,,21,1,M16П2A40B40C70D70E31T21
16,(мл. разр. 8 бит),П2,40,40,30,80,31,,21,1,M16П2A40B40C30D80E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,80,31,,21,1,M16П2A40B40C70D80E31T21
16,(ст. разр. 4 бита),П2,40,40,30,10,41,,21,1,M16П2A40B40C30D10E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,10,41,,21,1,M16П2A40B40C70D10E41T21
16,(мл. разр. 8 бит),П2,40,40,30,20,41,,21,1,M16П2A40B40C30D20E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,20,41,,21,1,M16П2A40B40C70D20E41T21
16,(ст. разр. 4 бита),П2,40,40,30,30,41,,21,1,M16П2A40B40C30D30E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,30,41,,21,1,M16П2A40B40C70D30E41T21
16,(мл. разр. 8 бит),П2,40,40,30,40,41,,21,1,M16П2A40B40C30D40E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,40,41,,21,1,M16П2A40B40C70D40E41T21
16,(ст. разр. 4 бита),П2,40,40,30,50,41,,21,1,M16П2A40B40C30D50E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,50,41,,21,1,M16П2A40B40C70D50E41T21
16,(мл. разр. 8 бит),П2,40,40,30,60,41,,21,1,M16П2A40B40C30D60E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,60,41,,21,1,M16П2A40B40C70D60E41T21
16,(ст. разр. 4 бита),П2,40,40,30,70,41,,21,1,M16П2A40B40C30D70E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,70,41,,21,1,M16П2A40B40C70D70E41T21
16,(мл. разр. 8 бит),П2,40,40,30,80,41,,21,1,M16П2A40B40C30D80E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,70,80,41,,21,1,M16П2A40B40C70D80E41T21
16,(ст. разр. 4 бита),П2,40,40,40,10,11,,21,1,M16П2A40B40C40D10E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,10,11,,21,1,M16П2A40B40C80D10E11T21
16,(мл. разр. 8 бит),П2,40,40,40,20,11,,21,1,M16П2A40B40C40D20E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,20,11,,21,1,M16П2A40B40C80D20E11T21
16,(ст. разр. 4 бита),П2,40,40,40,30,11,,21,1,M16П2A40B40C40D30E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,30,11,,21,1,M16П2A40B40C80D30E11T21
16,(мл. разр. 8 бит),П2,40,40,40,40,11,,21,1,M16П2A40B40C40D40E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,40,11,,21,1,M16П2A40B40C80D40E11T21
16,(ст. разр. 4 бита),П2,40,40,40,50,11,,21,1,M16П2A40B40C40D50E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,50,11,,21,1,M16П2A40B40C80D50E11T21
16,(мл. разр. 8 бит),П2,40,40,40,60,11,,21,1,M16П2A40B40C40D60E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,60,11,,21,1,M16П2A40B40C80D60E11T21
16,(ст. разр. 4 бита),П2,40,40,40,70,11,,21,1,M16П2A40B40C40D70E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,70,11,,21,1,M16П2A40B40C80D70E11T21
16,(мл. разр. 8 бит),П2,40,40,40,80,11,,21,1,M16П2A40B40C40D80E11T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,80,11,,21,1,M16П2A40B40C80D80E11T21
16,(ст. разр. 4 бита),П2,40,40,40,10,21,,21,1,M16П2A40B40C40D10E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,10,21,,21,1,M16П2A40B40C80D10E21T21
16,(мл. разр. 8 бит),П2,40,40,40,20,21,,21,1,M16П2A40B40C40D20E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,20,21,,21,1,M16П2A40B40C80D20E21T21
16,(ст. разр. 4 бита),П2,40,40,40,30,21,,21,1,M16П2A40B40C40D30E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,30,21,,21,1,M16П2A40B40C80D30E21T21
16,(мл. разр. 8 бит),П2,40,40,40,40,21,,21,1,M16П2A40B40C40D40E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,40,21,,21,1,M16П2A40B40C80D40E21T21
16,(ст. разр. 4 бита),П2,40,40,40,50,21,,21,1,M16П2A40B40C40D50E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,50,21,,21,1,M16П2A40B40C80D50E21T21
16,(мл. разр. 8 бит),П2,40,40,40,60,21,,21,1,M16П2A40B40C40D60E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,60,21,,21,1,M16П2A40B40C80D60E21T21
16,(ст. разр. 4 бита),П2,40,40,40,70,21,,21,1,M16П2A40B40C40D70E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,70,21,,21,1,M16П2A40B40C80D70E21T21
16,(мл. разр. 8 бит),П2,40,40,40,80,21,,21,1,M16П2A40B40C40D80E21T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,80,21,,21,1,M16П2A40B40C80D80E21T21
16,(ст. разр. 4 бита),П2,40,40,40,10,31,,21,1,M16П2A40B40C40D10E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,10,31,,21,1,M16П2A40B40C80D10E31T21
16,(мл. разр. 8 бит),П2,40,40,40,20,31,,21,1,M16П2A40B40C40D20E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,20,31,,21,1,M16П2A40B40C80D20E31T21
16,(ст. разр. 4 бита),П2,40,40,40,30,31,,21,1,M16П2A40B40C40D30E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,30,31,,21,1,M16П2A40B40C80D30E31T21
16,(мл. разр. 8 бит),П2,40,40,40,40,31,,21,1,M16П2A40B40C40D40E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,40,31,,21,1,M16П2A40B40C80D40E31T21
16,(ст. разр. 4 бита),П2,40,40,40,50,31,,21,1,M16П2A40B40C40D50E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,50,31,,21,1,M16П2A40B40C80D50E31T21
16,(мл. разр. 8 бит),П2,40,40,40,60,31,,21,1,M16П2A40B40C40D60E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,60,31,,21,1,M16П2A40B40C80D60E31T21
16,(ст. разр. 4 бита),П2,40,40,40,70,31,,21,1,M16П2A40B40C40D70E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,70,31,,21,1,M16П2A40B40C80D70E31T21
16,(мл. разр. 8 бит),П2,40,40,40,80,31,,21,1,M16П2A40B40C40D80E31T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,80,31,,21,1,M16П2A40B40C80D80E31T21
16,(ст. разр. 4 бита),П2,40,40,40,10,41,,21,1,M16П2A40B40C40D10E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,10,41,,21,1,M16П2A40B40C80D10E41T21
16,(мл. разр. 8 бит),П2,40,40,40,20,41,,21,1,M16П2A40B40C40D20E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,20,41,,21,1,M16П2A40B40C80D20E41T21
16,(ст. разр. 4 бита),П2,40,40,40,30,41,,21,1,M16П2A40B40C40D30E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,30,41,,21,1,M16П2A40B40C80D30E41T21
16,(мл. разр. 8 бит),П2,40,40,40,40,41,,21,1,M16П2A40B40C40D40E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,40,41,,21,1,M16П2A40B40C80D40E41T21
16,(ст. разр. 4 бита),П2,40,40,40,50,41,,21,1,M16П2A40B40C40D50E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,50,41,,21,1,M16П2A40B40C80D50E41T21
16,(мл. разр. 8 бит),П2,40,40,40,60,41,,21,1,M16П2A40B40C40D60E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,60,41,,21,1,M16П2A40B40C80D60E41T21
16,(ст. разр. 4 бита),П2,40,40,40,70,41,,21,1,M16П2A40B40C40D70E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,70,41,,21,1,M16П2A40B40C80D70E41T21
16,(мл. разр. 8 бит),П2,40,40,40,80,41,,21,1,M16П2A40B40C40D80E41T21,УБСИ температурные ЯТП-2,16,П2,40,40,80,80,41,,21,1,M16П2A40B40C80D80E41T21
