Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.58.67";"ЯЛК: -12 В на 58, наблюдение 67";790.5;"код";784.25;794.25;"НОРМА";"baseline_code=789.250000; current_code=790.500000; delta_code=1.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=67; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.68";"ЯЛК: -12 В на 58, наблюдение 68";786.75;"код";781.5;791.5;"НОРМА";"baseline_code=786.500000; current_code=786.750000; delta_code=0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=68; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.69";"ЯЛК: -12 В на 58, наблюдение 69";796.25;"код";792.75;802.75;"НОРМА";"baseline_code=797.750000; current_code=796.250000; delta_code=-1.500000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=69; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.70";"ЯЛК: -12 В на 58, наблюдение 70";810.75;"код";806;816;"НОРМА";"baseline_code=811.000000; current_code=810.750000; delta_code=-0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=70; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.74";"ЯЛК: -12 В на 58, наблюдение 74";827;"код";821.5;831.5;"НОРМА";"baseline_code=826.500000; current_code=827.000000; delta_code=0.500000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=74; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.75";"ЯЛК: -12 В на 58, наблюдение 75";845.75;"код";840.75;850.75;"НОРМА";"baseline_code=845.750000; current_code=845.750000; delta_code=0.000000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=75; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.76";"ЯЛК: -12 В на 58, наблюдение 76";844.75;"код";839.25;849.25;"НОРМА";"baseline_code=844.250000; current_code=844.750000; delta_code=0.500000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=76; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.77";"ЯЛК: -12 В на 58, наблюдение 77";847.5;"код";842.25;852.25;"НОРМА";"baseline_code=847.250000; current_code=847.500000; delta_code=0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=77; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.78";"ЯЛК: -12 В на 58, наблюдение 78";866;"код";861;871;"НОРМА";"baseline_code=866.000000; current_code=866.000000; delta_code=0.000000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=78; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.79";"ЯЛК: -12 В на 58, наблюдение 79";858;"код";852.75;862.75;"НОРМА";"baseline_code=857.750000; current_code=858.000000; delta_code=0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=79; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.80";"ЯЛК: -12 В на 58, наблюдение 80";867;"код";863.5;873.5;"НОРМА";"baseline_code=868.500000; current_code=867.000000; delta_code=-1.500000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=80; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.81";"ЯЛК: -12 В на 58, наблюдение 81";874;"код";869;879;"НОРМА";"baseline_code=874.000000; current_code=874.000000; delta_code=0.000000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=81; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.82";"ЯЛК: -12 В на 58, наблюдение 82";880;"код";875.75;885.75;"НОРМА";"baseline_code=880.750000; current_code=880.000000; delta_code=-0.750000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=82; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.83";"ЯЛК: -12 В на 58, наблюдение 83";897.5;"код";892.75;902.75;"НОРМА";"baseline_code=897.750000; current_code=897.500000; delta_code=-0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=83; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.84";"ЯЛК: -12 В на 58, наблюдение 84";884;"код";879.25;889.25;"НОРМА";"baseline_code=884.250000; current_code=884.000000; delta_code=-0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=84; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.85";"ЯЛК: -12 В на 58, наблюдение 85";905;"код";899;909;"НОРМА";"baseline_code=904.000000; current_code=905.000000; delta_code=1.000000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=85; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.86";"ЯЛК: -12 В на 58, наблюдение 86";909.5;"код";904.25;914.25;"НОРМА";"baseline_code=909.250000; current_code=909.500000; delta_code=0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=86; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.58.87";"ЯЛК: -12 В на 58, наблюдение 87";909.75;"код";904.5;914.5;"НОРМА";"baseline_code=909.500000; current_code=909.750000; delta_code=0.250000; impact_count=160; impact_index=134; lower_delta_code=-5.000000; observed_channel=87; polarity=-12 В; stressed_channel=58; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.1";"ЯЛК: -12 В на 59, наблюдение 1";125.25;"код";120.25;130.25;"НОРМА";"baseline_code=125.250000; current_code=125.250000; delta_code=0.000000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=1; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.2";"ЯЛК: -12 В на 59, наблюдение 2";117.75;"код";113.25;123.25;"НОРМА";"baseline_code=118.250000; current_code=117.750000; delta_code=-0.500000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=2; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.3";"ЯЛК: -12 В на 59, наблюдение 3";129.75;"код";123.25;133.25;"НОРМА";"baseline_code=128.250000; current_code=129.750000; delta_code=1.500000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=3; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.4";"ЯЛК: -12 В на 59, наблюдение 4";134.75;"код";130;140;"НОРМА";"baseline_code=135.000000; current_code=134.750000; delta_code=-0.250000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=4; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.5";"ЯЛК: -12 В на 59, наблюдение 5";151.75;"код";146.5;156.5;"НОРМА";"baseline_code=151.500000; current_code=151.750000; delta_code=0.250000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=5; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.59.6";"ЯЛК: -12 В на 59, наблюдение 6";156.75;"код";151;161;"НОРМА";"baseline_code=156.000000; current_code=156.750000; delta_code=0.750000; impact_count=160; impact_index=135; lower_delta_code=-5.000000; observed_channel=6; polarity=-12 В; stressed_channel=59; upper_delta_code=5.000000"
