Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.signal.13";"ЯЛК адрес 13: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.14";"ЯЛК адрес 14: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=14; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.14";"ЯЛК адрес 14: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.15";"ЯЛК адрес 15: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=15; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.15";"ЯЛК адрес 15: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.16";"ЯЛК адрес 16: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=16; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.16";"ЯЛК адрес 16: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.17";"ЯЛК адрес 17: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=17; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.17";"ЯЛК адрес 17: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.18";"ЯЛК адрес 18: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=18; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.18";"ЯЛК адрес 18: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.19";"ЯЛК адрес 19: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=19; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.19";"ЯЛК адрес 19: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.20";"ЯЛК адрес 20: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=20; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.20";"ЯЛК адрес 20: исходный сигнал";1;"лог.";1;1;"OK";""
