Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.34.2";"ЯЛК: -12 В на 34, наблюдение 2";118.25;"код";113.25;123.25;"НОРМА";"baseline_code=118.250000; current_code=118.250000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=2; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.3";"ЯЛК: -12 В на 34, наблюдение 3";128.75;"код";124;134;"НОРМА";"baseline_code=129.000000; current_code=128.750000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=3; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.4";"ЯЛК: -12 В на 34, наблюдение 4";135.25;"код";130;140;"НОРМА";"baseline_code=135.000000; current_code=135.250000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=4; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.5";"ЯЛК: -12 В на 34, наблюдение 5";150.75;"код";145.75;155.75;"НОРМА";"baseline_code=150.750000; current_code=150.750000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=5; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.6";"ЯЛК: -12 В на 34, наблюдение 6";156.25;"код";151.25;161.25;"НОРМА";"baseline_code=156.250000; current_code=156.250000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=6; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.7";"ЯЛК: -12 В на 34, наблюдение 7";173.75;"код";170;180;"НОРМА";"baseline_code=175.000000; current_code=173.750000; delta_code=-1.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=7; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.8";"ЯЛК: -12 В на 34, наблюдение 8";182.25;"код";177;187;"НОРМА";"baseline_code=182.000000; current_code=182.250000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=8; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.9";"ЯЛК: -12 В на 34, наблюдение 9";196;"код";191.25;201.25;"НОРМА";"baseline_code=196.250000; current_code=196.000000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=9; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.10";"ЯЛК: -12 В на 34, наблюдение 10";189.75;"код";184.25;194.25;"НОРМА";"baseline_code=189.250000; current_code=189.750000; delta_code=0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=10; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.11";"ЯЛК: -12 В на 34, наблюдение 11";429;"код";425;435;"НОРМА";"baseline_code=430.000000; current_code=429.000000; delta_code=-1.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=11; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.12";"ЯЛК: -12 В на 34, наблюдение 12";440.5;"код";436.25;446.25;"НОРМА";"baseline_code=441.250000; current_code=440.500000; delta_code=-0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=12; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.13";"ЯЛК: -12 В на 34, наблюдение 13";444.25;"код";440.5;450.5;"НОРМА";"baseline_code=445.500000; current_code=444.250000; delta_code=-1.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=13; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.14";"ЯЛК: -12 В на 34, наблюдение 14";457;"код";451.25;461.25;"НОРМА";"baseline_code=456.250000; current_code=457.000000; delta_code=0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=14; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
