Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 21: исходное напряжение";"21";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 21: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 22: исходное напряжение";"22";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 22: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 23: исходное напряжение";"23";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 23: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 24: исходное напряжение";"24";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 24: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 25: исходное напряжение";"25";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 25: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 26: исходное напряжение";"26";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 26: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 27: исходное напряжение";"27";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 27: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 28: исходное напряжение";"28";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 28: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 32: исходное напряжение";"32";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 32: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 33: исходное напряжение";"33";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 33: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 34: исходное напряжение";"34";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 34: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
