Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 68: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 69: исходное напряжение";"69";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 69: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 70: исходное напряжение";"70";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 70: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 74: исходное напряжение";"74";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 74: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 75: исходное напряжение";"75";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 75: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 76: исходное напряжение";"76";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 76: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 77: исходное напряжение";"77";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 77: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 78: исходное напряжение";"78";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 78: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 79: исходное напряжение";"79";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 79: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 80: исходное напряжение";"80";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 80: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 81: исходное напряжение";"81";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 81: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 82: исходное напряжение";"82";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 82: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 83: исходное напряжение";"83";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 83: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 84: исходное напряжение";"84";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 84: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 85: исходное напряжение";"85";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 85: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 86: исходное напряжение";"86";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 86: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 87: исходное напряжение";"87";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 87: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
