# Generated by scripts/consolidate_orbita_address_sets.ps1. Source files are not modified.
group;source;address_count
slow;Медленные УЛК.txt;46
fast;Быстрые.txt;16
contacts;Контактные УЛК.txt;13
all;ulk_all.txt;75
