block_code,sort_order,cell_code
UBSI-7,1,ЯП-П
UBSI-7,2,ЯТП
UBSI-7,3,ЯВП-8
UBSI-7,4,ЯЛК-96
BSI,1,ЯП-А
BSI,2,ЯГР
BSI,3,ЯСМ
BSI,4,ЯТП
BSI,5,ЯВП-8
BSI,6,ЯЛК-96
BSI,7,ЯФК
