code,name,designation,number,transport,status
UBSI-7,УБСИ,ЛВРМ.468157.002,7,RS-485,первый объект реализации
BSI,БСИ,ЛВРМ.468157.003,,Орбита/оборудование стенда,известный объект; реализация позднее
