code,name,scope,table_count,import_status
APPENDIX-1,Приложение 1 (аналог),аналоговые контактные температурные и быстроменяющиеся параметры БСИ и УБСИ,15,383 параметра и 723 адреса импортированы; иерархия объектов требует нормализации
APPENDIX-2,Приложение 2 (цифра),цифровые параметры ЯСМ каналов МКО U1 U2 U3 по шесть потоков,18,ожидает импорта
